iter	Passed	Remaining
334	553	1098
335	554	1096
336	556	1094
337	557	1092
338	558	1089
339	560	1087
340	561	1085
341	563	1083
342	564	1081
343	566	1080
344	567	1078
345	569	1075
346	570	1073
347	571	1071
348	573	1069
349	574	1067
350	575	1064
351	577	1062
352	578	1060
353	579	1058
354	581	1056
355	582	1054
356	584	1052
357	585	1049
358	586	1047
359	588	1045
360	589	1043
361	590	1041
362	592	1039
363	593	1037
364	594	1034
365	596	1032
366	597	1030
367	598	1028
368	600	1026
369	601	1024
370	603	1022
371	604	1020
372	605	1018
373	607	1016
374	608	1014
375	609	1011
376	611	1009
377	612	1007
378	613	1005
379	615	1003
380	616	1001
381	617	999
382	619	997
383	620	995
384	622	993
385	623	991
386	624	989
387	626	987
388	627	985
389	628	983
390	630	981
391	631	979
392	632	977
393	634	975
394	635	973
395	637	971
396	638	969
397	639	967
398	641	965
399	642	963
400	644	962
401	645	960
402	646	958
403	648	956
404	649	954
405	650	952
406	652	950
407	653	948
408	655	946
409	656	944
410	658	942
411	659	941
412	660	939
413	662	937
414	663	935
415	664	933
416	666	931
417	667	929
418	668	927
419	670	925
420	671	923
421	673	921
422	674	919
423	675	918
424	677	916
425	678	914
426	679	912
427	681	910
428	682	908
429	684	906
430	685	904
431	686	903
432	688	901
433	689	899
434	690	897
435	692	895
436	693	893
437	694	891
438	696	889
439	697	887
440	698	885
441	700	884
442	701	882
443	703	880
444	704	878
445	705	876
446	707	875
447	708	873
448	710	871
449	711	869
450	712	867
451	714	865
452	715	864
453	716	862
454	718	860
455	719	858
456	721	856
457	722	854
458	723	853
459	725	851
460	726	849
461	727	847
462	729	845
463	730	843
464	731	842
465	733	840
466	734	838
